file_a,file_b,level_a,level_b,same_level,dhash_distance,ahash_distance,lowres_correlation,combined_distance,same_sha256,width_a,height_a,width_b,height_b,review_priority
patient_image_000001_07f48740.jpg,patient_image_000185_7612c8a3.jpg,1,2,False,5,3,0.934001,8,False,2976,1536,2976,1536,low
patient_image_000186_7c3fbae5.jpg,patient_image_000203_71f4669d.jpg,1,2,False,6,4,0.933022,10,False,2976,1536,2976,1536,low
patient_image_000047_689da8a4.jpg,patient_image_000094_7b1f8dd3.jpg,3,2,False,6,3,0.926976,9,False,2976,1536,2976,1536,low
patient_image_000001_07f48740.jpg,patient_image_000086_d4dee6ca.jpg,1,2,False,2,4,0.926897,6,False,2976,1536,2976,1536,low
patient_image_000004_ba49da4c.jpg,patient_image_000269_36d706fb.jpg,2,3,False,4,5,0.925414,9,False,2976,1536,2976,1536,low
patient_image_000010_5ed86d8c.jpg,patient_image_000267_1cfc5a2c.jpg,1,2,False,5,7,0.925373,12,False,2976,1536,2976,1536,low
patient_image_000064_5e3832ed.jpg,patient_image_000273_1ae96b1a.jpg,1,2,False,6,3,0.925187,9,False,2976,1536,2976,1536,low
patient_image_000078_888484a1.jpg,patient_image_000286_083cb465.jpg,2,2,True,6,3,0.924943,9,False,2976,1536,2976,1536,low
patient_image_000239_4735ff8e.jpg,patient_image_000286_083cb465.jpg,2,2,True,4,6,0.924866,10,False,2976,1536,2976,1536,low
patient_image_000110_d2b43f3e.jpg,patient_image_000246_944095f6.jpg,1,2,False,5,2,0.924851,7,False,2976,1536,2976,1536,low
patient_image_000084_e135816e.jpg,patient_image_000136_13ff14b0.jpg,2,2,True,5,1,0.924790,6,False,2976,1536,2976,1536,low
patient_image_000084_e135816e.jpg,patient_image_000109_d5af1e8d.jpg,2,3,False,5,4,0.924739,9,False,2976,1536,2976,1536,low
patient_image_000186_7c3fbae5.jpg,patient_image_000273_1ae96b1a.jpg,1,2,False,3,3,0.923648,6,False,2976,1536,2976,1536,low
patient_image_000186_7c3fbae5.jpg,patient_image_000187_3a99cef5.jpg,1,2,False,4,5,0.923581,9,False,2976,1536,2976,1536,low
patient_image_000124_33072be7.jpg,patient_image_000267_1cfc5a2c.jpg,2,2,True,4,9,0.922842,13,False,2976,1536,2976,1536,low
patient_image_000136_13ff14b0.jpg,patient_image_000216_cc3ec1c0.jpg,2,2,True,6,3,0.921673,9,False,2976,1536,2976,1536,low
patient_image_000048_8f55577f.jpg,patient_image_000246_944095f6.jpg,2,2,True,5,2,0.920478,7,False,2976,1536,2976,1536,low
patient_image_000125_179d73b8.jpg,patient_image_000486_02dafd6a.jpg,2,2,True,6,10,0.919670,16,False,2976,1536,2976,1536,low
patient_image_000172_fed06c65.jpg,patient_image_000204_721f7bac.jpg,2,3,False,3,6,0.919282,9,False,2976,1536,2976,1536,low
patient_image_000187_3a99cef5.jpg,patient_image_000273_1ae96b1a.jpg,2,2,True,5,2,0.918988,7,False,2976,1536,2976,1536,low
patient_image_000048_8f55577f.jpg,patient_image_000058_0d2690d1.jpg,2,2,True,5,4,0.918572,9,False,2976,1536,2976,1536,low
patient_image_000125_179d73b8.jpg,patient_image_000277_b34d42a3.jpg,2,2,True,6,2,0.918512,8,False,2976,1536,2976,1536,low
patient_image_000010_5ed86d8c.jpg,patient_image_000124_33072be7.jpg,1,2,False,3,6,0.917742,9,False,2976,1536,2976,1536,low
patient_image_000043_7dfff7e3.jpg,patient_image_000124_33072be7.jpg,1,2,False,6,6,0.917492,12,False,2976,1536,2976,1536,low
patient_image_000212_a5293eb5.jpg,patient_image_000246_944095f6.jpg,2,2,True,6,7,0.917148,13,False,2976,1536,2976,1536,low
patient_image_000239_4735ff8e.jpg,patient_image_000277_b34d42a3.jpg,2,2,True,5,6,0.917093,11,False,2976,1536,2976,1536,low
patient_image_000094_7b1f8dd3.jpg,patient_image_000420_abc75010.jpg,2,2,True,5,7,0.916648,12,False,2976,1536,2976,1536,low
patient_image_000169_5b675efb.jpg,patient_image_000187_3a99cef5.jpg,1,2,False,6,4,0.916291,10,False,2976,1536,2976,1536,low
patient_image_000084_e135816e.jpg,patient_image_000246_944095f6.jpg,2,2,True,4,5,0.915544,9,False,2976,1536,2976,1536,low
patient_image_000100_759b168c.jpg,patient_image_000197_82c160be.jpg,2,2,True,6,3,0.915461,9,False,2976,1536,2976,1536,low
patient_image_000124_33072be7.jpg,patient_image_000197_82c160be.jpg,2,2,True,5,3,0.914988,8,False,2976,1536,2976,1536,low
patient_image_000047_689da8a4.jpg,patient_image_000209_8863e974.jpg,3,2,False,6,3,0.914830,9,False,2976,1536,2976,1536,low
patient_image_000086_d4dee6ca.jpg,patient_image_000185_7612c8a3.jpg,2,2,True,5,1,0.914566,6,False,2976,1536,2976,1536,low
patient_image_000065_f269e0d0.jpg,patient_image_000096_9aff477c.jpg,1,3,False,4,4,0.914542,8,False,2976,1536,2976,1536,low
patient_image_000058_0d2690d1.jpg,patient_image_000246_944095f6.jpg,2,2,True,4,4,0.914022,8,False,2976,1536,2976,1536,low
patient_image_000109_d5af1e8d.jpg,patient_image_000457_e8f4aa9a.jpg,3,2,False,6,9,0.913887,15,False,2976,1536,2976,1536,low
patient_image_000099_5a285290.jpg,patient_image_000236_7889c27a.jpg,2,2,True,4,3,0.913757,7,False,2976,1536,2976,1536,low
patient_image_000124_33072be7.jpg,patient_image_000336_95eb29bb.jpg,2,2,True,4,4,0.912785,8,False,2976,1536,2976,1536,low
patient_image_000216_cc3ec1c0.jpg,patient_image_000312_c2c8c3dc.jpg,2,2,True,6,2,0.912770,8,False,2976,1536,2976,1536,low
patient_image_000270_b8e4c66b.jpg,patient_image_000350_b70017ca.jpg,2,2,True,6,7,0.912611,13,False,2976,1536,2976,1536,low
patient_image_000124_33072be7.jpg,patient_image_000502_3f2d3d1c.jpg,2,2,True,5,2,0.912504,7,False,2976,1536,2976,1536,low
patient_image_000101_b9058bd6.jpg,patient_image_000216_cc3ec1c0.jpg,3,2,False,5,5,0.912397,10,False,2976,1536,2976,1536,low
patient_image_000100_759b168c.jpg,patient_image_000124_33072be7.jpg,2,2,True,5,2,0.911944,7,False,2976,1536,2976,1536,low
patient_image_000048_8f55577f.jpg,patient_image_000084_e135816e.jpg,2,2,True,5,5,0.911754,10,False,2976,1536,2976,1536,low
patient_image_000216_cc3ec1c0.jpg,patient_image_000487_14e01941.jpg,2,2,True,4,4,0.911548,8,False,2976,1536,2976,1536,low
patient_image_000124_33072be7.jpg,patient_image_000216_cc3ec1c0.jpg,2,2,True,1,0,0.911124,1,False,2976,1536,2976,1536,low
patient_image_000194_fde52b01.jpg,patient_image_000350_b70017ca.jpg,1,2,False,6,4,0.910796,10,False,2976,1536,2976,1536,low
patient_image_000094_7b1f8dd3.jpg,patient_image_000269_36d706fb.jpg,2,3,False,6,6,0.910691,12,False,2976,1536,2976,1536,low
patient_image_000094_7b1f8dd3.jpg,patient_image_000109_d5af1e8d.jpg,2,3,False,5,2,0.910454,7,False,2976,1536,2976,1536,low
patient_image_000100_759b168c.jpg,patient_image_000345_dbef47f1.jpg,2,2,True,5,3,0.910059,8,False,2976,1536,2976,1536,low
patient_image_000124_33072be7.jpg,patient_image_000169_5b675efb.jpg,2,1,False,6,2,0.909933,8,False,2976,1536,2976,1536,low
patient_image_000094_7b1f8dd3.jpg,patient_image_000246_944095f6.jpg,2,2,True,6,5,0.909580,11,False,2976,1536,2976,1536,low
patient_image_000058_0d2690d1.jpg,patient_image_000110_d2b43f3e.jpg,2,1,False,5,6,0.909536,11,False,2976,1536,2976,1536,low
patient_image_000110_d2b43f3e.jpg,patient_image_000363_49d557bd.jpg,1,2,False,6,5,0.909307,11,False,2976,1536,2976,1536,low
patient_image_000084_e135816e.jpg,patient_image_000212_a5293eb5.jpg,2,2,True,4,2,0.909251,6,False,2976,1536,2976,1536,low
